Код валюты 	Название валюты
RUB		Российский рубль
USD		Американский доллар
EUR		Евро
JPY		Японская иена
GBP		Фунт стерлингов
AUD		Австралийский доллар
CAD		Канадский доллар
CHF		Швейцарский франк
CNY		Китайский юань
INR		Индийская рупия
BRL		Бразильский реал
ZAR		Южноафриканский рэнд
MXN		Мексиканское песо
KRW		Южнокорейская вона
SEK		Шведская крона
NOK		Норвежская крона
SGD		Сингапурский доллар
NZD		Новозеландский доллар
TRY		Турецкая лира
HKD		Гонконгский доллар
MYR		Малайзийский ринггит
THB		Таиландский бат
IDR		Индонезийская рупия
PHP		Филиппинское песо
PLN		Польский злотый
HUF		Венгерский форинт
CZK		Чешская крона
DKK		Датская крона
ILS		Израильский шекель
SAR		Саудовский риял
AED		Дирхам ОАЭ
ARS		Аргентинское песо
CLP		Чилийское песо
COP		Колумбийское песо
PEN		Перуанский соль
VND		Вьетнамский донг
EGP		Египетский фунт
NGN		Нигерийская найра
KES		Кенийский шиллинг
GHS		Ганский седи
